1 - Hashing Dinamico
2 - Importar CSV
9 - Ligar Servidor

[  0]     0 = ActualPower:7 | CurrentSize:6 | [ {ID:128 Address: 7C7C} {ID:256 Address: F9CA} {ID:384 Address:1778D} {ID:512 Address:1F709} {ID:640 Address:27AC0} {ID:768 Address:2D987}                                                                                                                    ]
[  1]    C0 = ActualPower:7 | CurrentSize:7 | [ {ID:  1 Address:    4} {ID:129 Address: 7D79} {ID:257 Address: FACF} {ID:385 Address:17885} {ID:513 Address:1F804} {ID:641 Address:27BD9} {ID:769 Address:2DA45}                                                                                             ]
[  2]   240 = ActualPower:7 | CurrentSize:7 | [ {ID:  2 Address:   FC} {ID:130 Address: 7E76} {ID:258 Address: FBC3} {ID:386 Address:17979} {ID:514 Address:1F8FF} {ID:642 Address:27CE9} {ID:770 Address:2DAFD}                                                                                             ]
[  3]   180 = ActualPower:7 | CurrentSize:7 | [ {ID:  3 Address:  201} {ID:131 Address: 7F71} {ID:259 Address: FCC0} {ID:387 Address:17A72} {ID:515 Address:1F9F7} {ID:643 Address:27E0B} {ID:771 Address:2DBBB}                                                                                             ]
[  4]   540 = ActualPower:7 | CurrentSize:7 | [ {ID:  4 Address:  2FD} {ID:132 Address: 806A} {ID:260 Address: FDB4} {ID:388 Address:17B6A} {ID:516 Address:1FB02} {ID:644 Address:27F11} {ID:772 Address:2DC74}                                                                                             ]
[  5]   300 = ActualPower:7 | CurrentSize:7 | [ {ID:  5 Address:  3F2} {ID:133 Address: 8169} {ID:261 Address: FEB1} {ID:389 Address:17C55} {ID:517 Address:1FBFB} {ID:645 Address:28016} {ID:773 Address:2DD2F}                                                                                             ]
[  6]   3C0 = ActualPower:7 | CurrentSize:7 | [ {ID:  6 Address:  4E1} {ID:134 Address: 8264} {ID:262 Address: FFA5} {ID:390 Address:17D49} {ID:518 Address:1FCFB} {ID:646 Address:2812C} {ID:774 Address:2DDEA}                                                                                             ]
[  7]   480 = ActualPower:7 | CurrentSize:7 | [ {ID:  7 Address:  5D4} {ID:135 Address: 8360} {ID:263 Address:10090} {ID:391 Address:17E3E} {ID:519 Address:1FDF3} {ID:647 Address:281FA} {ID:775 Address:2DE9A}                                                                                             ]
[  8]   B40 = ActualPower:7 | CurrentSize:7 | [ {ID:  8 Address:  6CD} {ID:136 Address: 845B} {ID:264 Address:1018D} {ID:392 Address:17F44} {ID:520 Address:1FEFC} {ID:648 Address:28302} {ID:776 Address:2DF50}                                                                                             ]
[  9]   600 = ActualPower:7 | CurrentSize:7 | [ {ID:  9 Address:  7B8} {ID:137 Address: 8558} {ID:265 Address:1028B} {ID:393 Address:18041} {ID:521 Address:20016} {ID:649 Address:283EE} {ID:777 Address:2E00E}                                                                                             ]
[ 10]   6C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 10 Address:  8B5} {ID:138 Address: 864F} {ID:266 Address:1037F} {ID:394 Address:18145} {ID:522 Address:20128} {ID:650 Address:284EA} {ID:778 Address:2E0CC}                                                                                             ]
[ 11]   780 = ActualPower:7 | CurrentSize:7 | [ {ID: 11 Address:  9A7} {ID:139 Address: 874A} {ID:267 Address:1047E} {ID:395 Address:1823F} {ID:523 Address:20234} {ID:651 Address:285A0} {ID:779 Address:2E186}                                                                                             ]
[ 12]   840 = ActualPower:7 | CurrentSize:7 | [ {ID: 12 Address:  AA3} {ID:140 Address: 8841} {ID:268 Address:1058C} {ID:396 Address:18345} {ID:524 Address:2034E} {ID:652 Address:28658} {ID:780 Address:2E245}                                                                                             ]
[ 13]   900 = ActualPower:7 | CurrentSize:7 | [ {ID: 13 Address:  BA7} {ID:141 Address: 893B} {ID:269 Address:1067F} {ID:397 Address:1844B} {ID:525 Address:20449} {ID:653 Address:28718} {ID:781 Address:2E2FF}                                                                                             ]
[ 14]   9C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 14 Address:  CA0} {ID:142 Address: 8A36} {ID:270 Address:1078F} {ID:398 Address:18551} {ID:526 Address:2053B} {ID:654 Address:287C3} {ID:782 Address:2E3B8}                                                                                             ]
[ 15]   A80 = ActualPower:7 | CurrentSize:7 | [ {ID: 15 Address:  D93} {ID:143 Address: 8B22} {ID:271 Address:10882} {ID:399 Address:1864A} {ID:527 Address:20644} {ID:655 Address:28872} {ID:783 Address:2E467}                                                                                             ]
[ 16]  1740 = ActualPower:7 | CurrentSize:7 | [ {ID: 16 Address:  E96} {ID:144 Address: 8C29} {ID:272 Address:10982} {ID:400 Address:1873A} {ID:528 Address:2074F} {ID:656 Address:2892C} {ID:784 Address:2E522}                                                                                             ]
[ 17]   C00 = ActualPower:7 | CurrentSize:7 | [ {ID: 17 Address:  F95} {ID:145 Address: 8D1B} {ID:273 Address:10A8B} {ID:401 Address:18836} {ID:529 Address:20869} {ID:657 Address:289E0} {ID:785 Address:2E5E1}                                                                                             ]
[ 18]   CC0 = ActualPower:7 | CurrentSize:7 | [ {ID: 18 Address: 1090} {ID:146 Address: 8E1C} {ID:274 Address:10B83} {ID:402 Address:1892F} {ID:530 Address:20967} {ID:658 Address:28A98} {ID:786 Address:2E6A5}                                                                                             ]
