Root Address:   840
[    0] || Size: 3 | Leaf: 1 || {[     ]   1 [     ]   3 [     ]   4 [     ]     [     ]     [     ]     [     ]     [    ] }
[   c0] || Size: 3 | Leaf: 1 || {[     ]   6 [     ]   8 [     ]   9 [     ]     [     ]     [     ]     [     ]     [    ] }
[  180] || Size: 3 | Leaf: 0 || {[    0]   5 [   c0]  10 [  240]  14 [  300]     [     ]     [     ]     [     ]     [    ] }
[  240] || Size: 3 | Leaf: 1 || {[     ]  11 [     ]  12 [     ]  13 [     ]     [     ]     [     ]     [     ]     [    ] }
[  300] || Size: 3 | Leaf: 1 || {[     ]  15 [     ]  16 [     ]  17 [     ]     [     ]     [     ]     [     ]     [    ] }
[  3c0] || Size: 3 | Leaf: 1 || {[     ]  19 [     ]  20 [     ]  21 [     ]     [     ]     [     ]     [     ]     [    ] }
[  480] || Size: 3 | Leaf: 1 || {[     ]  23 [     ]  24 [     ]  25 [     ]     [     ]     [     ]     [     ]     [    ] }
[  540] || Size: 3 | Leaf: 1 || {[     ]  27 [     ]  28 [     ]  29 [     ]     [     ]     [     ]     [     ]     [    ] }
[  600] || Size: 3 | Leaf: 1 || {[     ]  31 [     ]  32 [     ]  33 [     ]     [     ]     [     ]     [     ]     [    ] }
[  6c0] || Size: 3 | Leaf: 1 || {[     ]  35 [     ]  36 [     ]  37 [     ]     [     ]     [     ]     [     ]     [    ] }
[  780] || Size: 3 | Leaf: 0 || {[  3c0]  22 [  480]  26 [  540]  30 [  600]     [     ]     [     ]     [     ]     [    ] }
[  840] || Size: 3 | Leaf: 0 || {[  180]  18 [  780]  34 [  c00]  50 [  fc0]     [     ]     [     ]     [     ]     [    ] }
[  900] || Size: 3 | Leaf: 1 || {[     ]  39 [     ]  40 [     ]  41 [     ]     [     ]     [     ]     [     ]     [    ] }
[  9c0] || Size: 3 | Leaf: 1 || {[     ]  43 [     ]  44 [     ]  45 [     ]     [     ]     [     ]     [     ]     [    ] }
[  a80] || Size: 3 | Leaf: 1 || {[     ]  47 [     ]  48 [     ]  49 [     ]     [     ]     [     ]     [     ]     [    ] }
[  b40] || Size: 3 | Leaf: 1 || {[     ]  51 [     ]  52 [     ]  53 [     ]     [     ]     [     ]     [     ]     [    ] }
[  c00] || Size: 3 | Leaf: 0 || {[  6c0]  38 [  900]  42 [  9c0]  46 [  a80]     [     ]     [     ]     [     ]     [    ] }
[  cc0] || Size: 3 | Leaf: 1 || {[     ]  55 [     ]  56 [     ]  57 [     ]     [     ]     [     ]     [     ]     [    ] }
[  d80] || Size: 3 | Leaf: 1 || {[     ]  59 [     ]  60 [     ]  61 [     ]     [     ]     [     ]     [     ]     [    ] }
[  e40] || Size: 3 | Leaf: 1 || {[     ]  63 [     ]  64 [     ]  65 [     ]     [     ]     [     ]     [     ]     [    ] }
[  f00] || Size: 4 | Leaf: 1 || {[     ]  67 [     ]  68 [     ]  69 [     ]  70 [     ]     [     ]     [     ]     [    ] }
[  fc0] || Size: 4 | Leaf: 0 || {[  b40]  54 [  cc0]  58 [  d80]  62 [  e40]  66 [  f00]     [     ]     [     ]     [    ] }


